,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
9108,9108,38,technician,divorced,secondary,no,-397,yes,yes,cellular,21,jul,91,9,-1,0,unknown,no
1370,1370,46,management,divorced,tertiary,no,-130,yes,no,cellular,24,mar,144,2,-1,0,unknown,yes
552,552,27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,-1,0,unknown,yes
1847,1847,45,admin.,married,secondary,yes,-106,yes,yes,cellular,7,may,553,3,288,1,other,yes
4500,4500,58,management,married,secondary,no,-382,no,no,cellular,31,jul,644,12,-1,0,unknown,yes
528,528,35,management,single,tertiary,no,-324,no,yes,cellular,21,jul,985,11,-1,0,unknown,yes
11132,11132,32,blue-collar,married,secondary,no,-325,yes,yes,unknown,21,may,171,1,-1,0,unknown,no
508,508,34,admin.,divorced,secondary,no,-251,no,no,cellular,18,jul,641,1,-1,0,unknown,yes
216,216,40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,-1,0,unknown,yes
9371,9371,32,blue-collar,single,secondary,no,-84,yes,no,cellular,11,may,426,1,-1,0,unknown,no
529,529,34,services,single,secondary,no,-30,no,no,cellular,21,jul,1360,3,-1,0,unknown,yes
10395,10395,49,entrepreneur,married,secondary,no,-1965,no,yes,telephone,10,jul,317,2,-1,0,unknown,no
6895,6895,50,technician,single,secondary,no,-97,yes,no,cellular,8,apr,425,1,306,2,failure,no
486,486,26,services,single,secondary,no,-189,no,yes,cellular,17,jul,538,2,-1,0,unknown,yes
7387,7387,46,blue-collar,married,primary,no,-29,yes,no,unknown,12,may,322,1,-1,0,unknown,no
10458,10458,53,blue-collar,married,secondary,yes,-634,no,no,cellular,19,aug,695,3,-1,0,unknown,no
7512,7512,51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
11070,11070,31,management,single,tertiary,yes,-365,yes,no,unknown,30,may,319,6,-1,0,unknown,no
2318,2318,56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
1836,1836,51,technician,married,secondary,no,-1944,yes,no,cellular,7,may,623,1,-1,0,unknown,yes
5611,5611,45,management,married,tertiary,yes,-577,yes,yes,cellular,24,jul,204,1,-1,0,unknown,no
5366,5366,42,blue-collar,married,primary,no,-67,yes,no,unknown,9,may,128,1,-1,0,unknown,no
9051,9051,42,blue-collar,married,secondary,no,-972,yes,no,unknown,29,may,146,1,-1,0,unknown,no
7625,7625,33,technician,married,tertiary,no,-482,yes,no,cellular,29,jul,90,3,-1,0,unknown,no
8865,8865,38,blue-collar,married,secondary,no,-40,yes,no,unknown,23,may,227,1,-1,0,unknown,no
4647,4647,49,blue-collar,married,primary,no,-157,yes,no,cellular,7,jul,491,3,-1,0,unknown,yes
616,616,41,blue-collar,married,secondary,no,-190,no,yes,cellular,29,jul,808,3,-1,0,unknown,yes
4119,4119,42,technician,married,tertiary,no,-215,no,no,unknown,20,jun,1573,5,-1,0,unknown,yes
11037,11037,45,unemployed,divorced,secondary,no,-44,yes,no,cellular,7,jul,256,2,-1,0,unknown,no
9731,9731,51,admin.,married,unknown,no,-1137,yes,yes,telephone,11,may,567,3,325,1,failure,no
9807,9807,56,management,married,primary,no,-155,yes,no,cellular,17,nov,282,1,-1,0,unknown,no
10790,10790,25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
4511,4511,25,management,married,tertiary,no,-242,yes,yes,cellular,18,may,600,4,332,4,other,yes
8396,8396,31,technician,married,secondary,no,-302,no,no,cellular,13,aug,195,2,-1,0,unknown,no
359,359,27,blue-collar,married,primary,no,-413,no,yes,unknown,27,jun,422,6,-1,0,unknown,yes
9442,9442,29,admin.,single,secondary,no,-498,yes,no,cellular,2,feb,99,3,227,14,failure,no
1105,1105,60,technician,married,tertiary,no,-71,yes,yes,cellular,30,jan,1451,1,-1,0,unknown,yes
4153,4153,24,services,single,secondary,yes,-122,yes,no,unknown,13,may,1000,1,-1,0,unknown,yes
9681,9681,48,services,divorced,primary,no,-110,no,yes,unknown,19,jun,164,2,-1,0,unknown,no
6970,6970,50,blue-collar,married,primary,no,-37,yes,no,unknown,12,may,78,3,-1,0,unknown,no
10024,10024,59,retired,married,primary,yes,-13,no,no,cellular,11,aug,77,1,-1,0,unknown,no
6973,6973,35,services,divorced,secondary,no,-718,yes,no,cellular,21,nov,47,1,-1,0,unknown,no
6409,6409,43,blue-collar,divorced,primary,no,-57,yes,no,unknown,16,may,221,2,-1,0,unknown,no
7408,7408,46,admin.,divorced,secondary,no,-60,no,no,cellular,17,nov,117,1,-1,0,unknown,no
7096,7096,51,unemployed,divorced,secondary,no,-56,yes,no,cellular,19,nov,544,3,-1,0,unknown,no
624,624,55,management,married,tertiary,no,-375,no,no,cellular,30,jul,814,2,-1,0,unknown,yes
9469,9469,48,blue-collar,divorced,secondary,no,-314,yes,no,cellular,18,may,7,5,-1,0,unknown,no
8372,8372,47,retired,married,secondary,no,-71,yes,no,cellular,11,aug,293,5,-1,0,unknown,no
151,151,30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes
1457,1457,26,management,single,tertiary,no,-3,no,no,cellular,13,apr,1022,2,-1,0,unknown,yes
9533,9533,29,blue-collar,married,primary,no,-382,yes,no,cellular,28,jul,35,2,-1,0,unknown,no
7970,7970,36,management,married,tertiary,no,-633,yes,no,cellular,17,jul,106,1,-1,0,unknown,no
8767,8767,44,blue-collar,single,secondary,no,-435,yes,no,unknown,27,may,141,2,-1,0,unknown,no
7587,7587,37,management,married,tertiary,no,-57,yes,no,cellular,31,jul,37,20,-1,0,unknown,no
9965,9965,29,technician,single,secondary,no,-13,yes,no,cellular,14,may,512,3,-1,0,unknown,no
10970,10970,36,blue-collar,married,primary,no,-20,yes,no,unknown,7,may,353,3,-1,0,unknown,no
8754,8754,41,management,married,tertiary,no,-412,yes,no,cellular,29,jan,85,1,195,5,other,no
7453,7453,45,technician,married,secondary,no,-312,yes,no,cellular,16,jul,268,1,-1,0,unknown,no
9526,9526,56,management,divorced,tertiary,no,-141,no,no,cellular,28,jul,101,4,-1,0,unknown,no
9047,9047,30,technician,married,secondary,no,-280,yes,no,cellular,17,apr,609,2,266,2,failure,no
7501,7501,26,technician,single,secondary,no,-211,yes,no,unknown,23,may,164,3,-1,0,unknown,no
9029,9029,60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,no
954,954,49,technician,single,secondary,no,-188,yes,yes,cellular,17,nov,454,1,-1,0,unknown,yes
10281,10281,41,technician,married,tertiary,no,-15,yes,no,cellular,6,may,33,1,-1,0,unknown,no
1850,1850,45,blue-collar,divorced,secondary,no,-184,yes,no,cellular,7,may,878,3,170,5,failure,yes
7218,7218,54,blue-collar,married,unknown,no,-361,yes,no,unknown,26,may,227,1,-1,0,unknown,no
10862,10862,42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,179,3,-1,0,unknown,no
1550,1550,29,blue-collar,divorced,secondary,no,-19,yes,no,cellular,20,apr,712,4,-1,0,unknown,yes
5803,5803,32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,308,1,-1,0,unknown,no
8660,8660,39,management,married,tertiary,no,-233,yes,no,cellular,19,nov,249,1,-1,0,unknown,no
5858,5858,37,blue-collar,married,secondary,no,-67,no,no,cellular,2,feb,157,1,-1,0,unknown,no
1914,1914,50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes
5700,5700,26,blue-collar,single,secondary,no,-128,no,yes,cellular,8,jul,392,2,-1,0,unknown,no
9692,9692,51,blue-collar,married,secondary,no,-92,yes,no,unknown,4,jun,28,4,-1,0,unknown,no
8374,8374,30,services,single,secondary,no,-114,yes,no,cellular,21,jul,396,2,-1,0,unknown,no
623,623,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,988,2,-1,0,unknown,yes
7112,7112,53,admin.,divorced,secondary,no,-372,yes,no,unknown,26,may,104,1,-1,0,unknown,no
7257,7257,31,management,divorced,tertiary,no,-6,no,yes,cellular,22,aug,119,6,-1,0,unknown,no
358,358,28,admin.,single,secondary,no,-7,no,yes,unknown,26,jun,3183,2,-1,0,unknown,yes
2582,2582,53,retired,divorced,tertiary,no,-309,yes,no,cellular,21,aug,343,2,428,2,success,yes
7266,7266,32,management,married,tertiary,no,-383,yes,no,unknown,27,may,241,1,-1,0,unknown,no
8012,8012,46,blue-collar,married,primary,no,-44,no,yes,telephone,22,aug,16,13,-1,0,unknown,no
7747,7747,48,admin.,married,secondary,no,-30,yes,no,cellular,7,may,133,1,-1,0,unknown,no
10422,10422,46,services,married,secondary,no,-522,yes,no,cellular,31,jul,61,2,-1,0,unknown,no
10501,10501,32,technician,single,secondary,no,-114,no,no,cellular,12,aug,155,2,-1,0,unknown,no
6838,6838,44,admin.,divorced,secondary,no,-43,yes,yes,cellular,20,apr,206,1,-1,0,unknown,no
7634,7634,33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,jul,326,2,-1,0,unknown,no
5336,5336,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
10369,10369,26,blue-collar,single,primary,no,-295,yes,no,cellular,6,may,138,1,-1,0,unknown,no
10035,10035,41,management,married,tertiary,no,-195,no,yes,cellular,20,nov,112,1,-1,0,unknown,no
7061,7061,49,technician,married,secondary,no,-849,yes,yes,unknown,27,may,197,1,-1,0,unknown,no
17,17,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes
6975,6975,46,entrepreneur,married,tertiary,no,-43,no,no,unknown,12,may,138,8,-1,0,unknown,no
6869,6869,30,technician,single,secondary,no,-754,yes,yes,unknown,26,may,974,1,-1,0,unknown,no
1519,1519,52,retired,divorced,primary,no,-779,yes,yes,cellular,17,apr,709,1,-1,0,unknown,yes
210,210,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes
206,206,36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes
6422,6422,29,admin.,single,secondary,no,-309,yes,yes,unknown,4,jun,215,1,-1,0,unknown,no
6780,6780,30,services,single,secondary,no,-100,yes,yes,cellular,15,may,292,1,-1,0,unknown,no
881,881,46,technician,divorced,secondary,no,-90,no,yes,telephone,17,oct,270,1,-1,0,unknown,yes
6470,6470,38,admin.,divorced,secondary,no,-51,no,yes,cellular,30,jan,102,1,-1,0,unknown,no
10114,10114,50,admin.,divorced,secondary,no,-194,yes,no,cellular,13,apr,238,2,-1,0,unknown,no
2024,2024,60,retired,divorced,secondary,no,-639,yes,no,cellular,15,may,585,1,-1,0,unknown,yes
8796,8796,44,blue-collar,married,secondary,no,-448,yes,no,unknown,18,jun,149,2,-1,0,unknown,no
10086,10086,31,blue-collar,married,secondary,no,-190,yes,yes,cellular,8,may,299,3,-1,0,unknown,no
6805,6805,49,blue-collar,married,primary,yes,-98,yes,no,cellular,20,nov,182,2,-1,0,unknown,no
419,419,34,admin.,married,secondary,no,-33,yes,yes,cellular,10,jul,961,1,-1,0,unknown,yes
1966,1966,28,admin.,divorced,secondary,no,-504,yes,yes,cellular,14,may,578,1,-1,0,unknown,yes
7943,7943,48,technician,divorced,secondary,no,-154,no,no,unknown,3,jun,342,3,-1,0,unknown,no
6697,6697,43,blue-collar,married,primary,no,-181,yes,no,cellular,17,apr,351,1,337,3,failure,no
136,136,34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,yes
1034,1034,31,blue-collar,married,tertiary,no,-35,no,no,cellular,20,nov,952,2,-1,0,unknown,yes
7151,7151,43,management,married,tertiary,no,-183,no,no,cellular,24,jul,65,1,-1,0,unknown,no
6066,6066,31,admin.,single,secondary,no,-302,yes,yes,unknown,27,may,235,5,-1,0,unknown,no
10298,10298,37,admin.,single,secondary,no,-261,no,yes,cellular,10,jul,259,1,-1,0,unknown,no
5027,5027,26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,jul,1150,3,-1,0,unknown,yes
10153,10153,27,blue-collar,married,secondary,no,-59,no,yes,cellular,8,jul,154,3,-1,0,unknown,no
9688,9688,55,services,single,secondary,no,-40,yes,no,unknown,12,may,178,2,-1,0,unknown,no
1862,1862,56,blue-collar,divorced,primary,no,-9,yes,yes,cellular,8,may,728,1,-1,0,unknown,yes
454,454,34,blue-collar,single,primary,no,-109,yes,no,cellular,15,jul,860,4,-1,0,unknown,yes
6426,6426,30,blue-collar,single,secondary,no,-93,yes,no,unknown,27,may,149,2,-1,0,unknown,no
6701,6701,60,admin.,married,primary,no,-444,no,yes,cellular,16,jul,227,1,-1,0,unknown,no
9574,9574,59,admin.,single,secondary,no,-423,yes,yes,cellular,20,apr,84,1,-1,0,unknown,no
9221,9221,30,management,single,tertiary,no,-218,yes,no,cellular,27,aug,13,15,-1,0,unknown,no
7676,7676,46,blue-collar,married,primary,no,-388,yes,yes,cellular,10,jul,207,1,-1,0,unknown,no
8665,8665,46,blue-collar,married,secondary,no,-3,yes,no,unknown,9,may,92,2,-1,0,unknown,no
10340,10340,40,services,married,secondary,no,-116,yes,no,unknown,29,may,176,3,-1,0,unknown,no
9630,9630,40,technician,married,secondary,no,-28,yes,yes,unknown,30,may,289,2,-1,0,unknown,no
1802,1802,30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,670,2,286,6,failure,yes
9611,9611,35,blue-collar,married,primary,yes,-1489,yes,yes,unknown,29,may,177,1,-1,0,unknown,no
10227,10227,58,management,married,secondary,no,-382,no,no,telephone,5,feb,398,4,189,12,success,no
5669,5669,35,entrepreneur,single,tertiary,no,-880,no,yes,cellular,24,jul,77,3,-1,0,unknown,no
5237,5237,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,-1,0,unknown,yes
6341,6341,37,blue-collar,married,unknown,no,-1050,yes,no,unknown,2,jun,548,2,-1,0,unknown,no
9680,9680,40,blue-collar,married,primary,yes,-509,yes,no,unknown,23,may,298,1,-1,0,unknown,no
5660,5660,50,admin.,married,secondary,no,-1415,no,no,cellular,19,aug,358,2,-1,0,unknown,no
6538,6538,29,management,single,tertiary,no,-11,yes,no,cellular,14,may,164,2,-1,0,unknown,no
545,545,25,blue-collar,single,secondary,no,-247,yes,no,cellular,23,jul,633,1,-1,0,unknown,yes
7867,7867,26,services,single,secondary,no,-481,yes,yes,cellular,6,may,595,5,-1,0,unknown,no
5459,5459,46,unemployed,married,secondary,no,-125,yes,no,unknown,6,may,23,1,-1,0,unknown,no
1943,1943,51,blue-collar,divorced,primary,no,-19,yes,no,cellular,13,may,829,1,296,11,failure,yes
7487,7487,42,management,married,secondary,yes,-34,no,no,cellular,5,feb,176,1,-1,0,unknown,no
7671,7671,37,entrepreneur,married,secondary,no,-170,yes,no,unknown,28,may,39,1,-1,0,unknown,no
6494,6494,38,blue-collar,married,secondary,no,-210,yes,no,unknown,8,may,21,1,-1,0,unknown,no
5740,5740,38,entrepreneur,married,secondary,no,-272,no,yes,unknown,17,jun,143,2,-1,0,unknown,no
7550,7550,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
5923,5923,25,blue-collar,single,secondary,no,-250,yes,no,unknown,13,may,456,1,-1,0,unknown,no
1098,1098,53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,-1,0,unknown,yes
7415,7415,31,technician,married,secondary,yes,-463,yes,no,unknown,28,may,210,1,-1,0,unknown,no
333,333,25,blue-collar,single,secondary,no,-191,yes,no,unknown,19,jun,958,7,-1,0,unknown,yes
9610,9610,31,services,married,secondary,no,-414,yes,no,cellular,6,may,1369,3,-1,0,unknown,no
4682,4682,30,services,single,secondary,no,-158,yes,no,cellular,12,may,426,1,370,2,failure,yes
10204,10204,36,technician,single,secondary,no,-15,yes,no,unknown,6,may,341,3,-1,0,unknown,no
6466,6466,51,management,married,tertiary,no,-15,no,no,cellular,25,jul,212,2,-1,0,unknown,no
6848,6848,42,blue-collar,married,primary,no,-181,yes,no,unknown,15,may,297,3,-1,0,unknown,no
10474,10474,40,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,288,1,-1,0,unknown,no
9324,9324,35,admin.,married,secondary,no,-244,yes,yes,cellular,6,may,118,1,-1,0,unknown,no
10412,10412,28,blue-collar,married,secondary,no,-26,no,yes,cellular,30,jan,81,1,-1,0,unknown,no
10147,10147,56,entrepreneur,married,tertiary,no,-124,yes,no,unknown,15,may,374,5,-1,0,unknown,no
2541,2541,42,admin.,married,primary,no,-306,yes,no,cellular,17,aug,308,1,459,1,success,yes
7862,7862,43,housemaid,married,secondary,no,-177,yes,no,unknown,21,may,172,2,-1,0,unknown,no
10902,10902,38,blue-collar,single,secondary,no,-56,yes,yes,unknown,6,jun,247,2,-1,0,unknown,no
1395,1395,63,self-employed,married,tertiary,no,-39,no,no,cellular,1,apr,387,2,-1,0,unknown,yes
6390,6390,51,management,single,unknown,no,-461,yes,no,unknown,28,may,33,2,-1,0,unknown,no
5732,5732,49,blue-collar,married,primary,no,-232,no,yes,cellular,11,aug,106,2,-1,0,unknown,no
8014,8014,39,blue-collar,married,primary,no,-50,yes,no,cellular,15,may,100,1,-1,0,unknown,no
3398,3398,27,technician,single,tertiary,no,-67,yes,no,cellular,6,apr,604,3,236,2,failure,yes
7050,7050,45,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,263,2,-1,0,unknown,no
854,854,59,blue-collar,married,primary,no,-546,no,no,cellular,25,aug,1152,6,-1,0,unknown,yes
9140,9140,41,technician,married,secondary,no,-329,no,no,telephone,5,feb,13,8,238,9,other,no
9174,9174,45,admin.,single,secondary,no,-11,yes,no,cellular,5,may,247,1,-1,0,unknown,no
42,42,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,yes
5455,5455,30,entrepreneur,married,secondary,no,-346,yes,yes,cellular,22,jul,88,1,-1,0,unknown,no
82,82,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes
10254,10254,38,management,married,tertiary,no,-239,yes,no,unknown,2,jun,221,2,-1,0,unknown,no
7092,7092,33,technician,married,secondary,no,-74,yes,no,cellular,25,jul,198,4,-1,0,unknown,no
8779,8779,57,retired,married,primary,no,-12,no,yes,cellular,12,aug,80,8,-1,0,unknown,no
7799,7799,50,admin.,married,secondary,no,-195,no,no,cellular,22,aug,119,4,-1,0,unknown,no
4468,4468,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,unknown,yes
7363,7363,30,management,married,tertiary,no,-181,yes,no,cellular,19,nov,621,2,-1,0,unknown,no
8031,8031,29,management,married,tertiary,no,-6,yes,no,unknown,9,may,324,1,-1,0,unknown,no
9375,9375,55,blue-collar,married,secondary,no,-473,yes,no,unknown,26,may,233,1,-1,0,unknown,no
6841,6841,41,blue-collar,married,primary,no,-441,yes,no,cellular,5,may,352,1,-1,0,unknown,no
6437,6437,23,blue-collar,married,primary,no,-213,no,no,unknown,13,may,165,2,-1,0,unknown,no
6243,6243,41,management,married,tertiary,no,-556,yes,yes,unknown,26,may,127,3,-1,0,unknown,no
8584,8584,39,services,married,secondary,no,-311,yes,no,cellular,6,may,55,2,345,2,other,no
4935,4935,32,services,single,secondary,no,-198,yes,no,unknown,21,may,681,3,-1,0,unknown,yes
385,385,33,entrepreneur,married,secondary,no,-627,yes,yes,cellular,8,jul,740,1,-1,0,unknown,yes
7032,7032,59,retired,married,primary,no,-47,yes,no,cellular,27,aug,84,4,-1,0,unknown,no
63,63,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,yes
10741,10741,24,blue-collar,single,secondary,no,-10,yes,no,unknown,13,may,106,1,-1,0,unknown,no
7516,7516,26,management,single,tertiary,no,-8,no,no,cellular,13,aug,402,2,-1,0,unknown,no
7077,7077,53,blue-collar,married,secondary,no,-76,no,no,cellular,29,jan,173,1,164,4,other,no
10998,10998,33,blue-collar,married,primary,no,-132,yes,yes,cellular,18,may,170,6,-1,0,unknown,no
379,379,45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,574,1,-1,0,unknown,yes
9100,9100,28,admin.,single,secondary,no,-126,no,yes,cellular,8,jul,360,4,-1,0,unknown,no
10215,10215,40,management,married,tertiary,no,-63,no,yes,cellular,2,jul,196,1,-1,0,unknown,no
7893,7893,30,management,married,tertiary,no,-27,yes,no,unknown,27,may,29,2,-1,0,unknown,no
6420,6420,56,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,118,1,-1,0,unknown,no
6255,6255,35,blue-collar,married,primary,no,-367,yes,no,cellular,11,may,77,1,350,1,failure,no
3177,3177,35,admin.,single,secondary,no,-32,no,yes,cellular,9,feb,63,4,182,5,failure,yes
622,622,44,unemployed,single,primary,yes,-4,no,yes,cellular,30,jul,788,2,-1,0,unknown,yes
1872,1872,40,services,married,secondary,no,-192,yes,no,cellular,11,may,666,1,-1,0,unknown,yes
382,382,47,technician,single,secondary,no,-239,yes,yes,cellular,7,jul,973,3,-1,0,unknown,yes
59,59,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes
353,353,26,admin.,single,primary,no,-122,yes,no,unknown,23,jun,670,3,-1,0,unknown,yes
9378,9378,50,management,divorced,primary,no,-6,yes,no,unknown,19,may,92,2,-1,0,unknown,no
2023,2023,39,entrepreneur,married,tertiary,yes,-172,yes,no,cellular,15,may,562,2,-1,0,unknown,yes
7769,7769,54,management,married,tertiary,no,-1415,yes,yes,cellular,17,nov,135,1,-1,0,unknown,no
8415,8415,46,admin.,divorced,secondary,no,-637,yes,no,cellular,17,nov,153,1,-1,0,unknown,no
10212,10212,34,blue-collar,married,secondary,no,-58,yes,yes,unknown,28,may,157,2,-1,0,unknown,no
8867,8867,34,admin.,married,secondary,no,-312,yes,no,unknown,9,may,232,1,-1,0,unknown,no
7572,7572,46,self-employed,married,tertiary,no,-80,yes,no,unknown,12,may,112,2,-1,0,unknown,no
1341,1341,24,admin.,single,tertiary,no,-61,no,no,cellular,11,mar,95,4,-1,0,unknown,yes
8821,8821,40,blue-collar,married,primary,no,-388,yes,no,cellular,4,may,195,3,340,1,failure,no
343,343,57,management,married,tertiary,no,-92,yes,yes,unknown,20,jun,1617,1,-1,0,unknown,yes
5621,5621,50,management,married,tertiary,no,-151,yes,no,cellular,18,nov,63,2,-1,0,unknown,no
10642,10642,52,management,married,tertiary,no,-2712,yes,yes,cellular,2,apr,253,1,-1,0,unknown,no
8274,8274,30,technician,married,secondary,no,-306,yes,yes,cellular,18,nov,372,1,186,1,failure,no
11043,11043,30,technician,single,secondary,no,-232,no,yes,cellular,7,aug,118,2,-1,0,unknown,no
1148,1148,48,technician,single,secondary,no,-92,yes,no,cellular,3,feb,1393,1,-1,0,unknown,yes
6819,6819,32,services,married,secondary,no,-344,no,yes,cellular,4,feb,44,1,-1,0,unknown,no
6010,6010,49,management,divorced,tertiary,no,-2049,yes,no,unknown,30,may,169,3,-1,0,unknown,no
4673,4673,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown,yes
6084,6084,40,management,married,secondary,no,-240,no,yes,unknown,28,may,160,3,-1,0,unknown,no
2012,2012,26,technician,single,tertiary,no,-67,yes,no,cellular,15,may,637,1,-1,0,unknown,yes
6051,6051,28,management,single,tertiary,no,-227,yes,no,unknown,4,jun,298,2,-1,0,unknown,no
646,646,48,entrepreneur,married,tertiary,yes,-392,no,no,cellular,31,jul,725,4,-1,0,unknown,yes
7967,7967,47,blue-collar,married,secondary,no,-337,yes,yes,cellular,12,may,366,1,-1,0,unknown,no
7600,7600,33,blue-collar,married,secondary,no,-253,yes,no,cellular,12,may,89,3,-1,0,unknown,no
539,539,26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,unknown,yes
11000,11000,31,blue-collar,single,secondary,no,-159,no,yes,telephone,21,nov,49,1,-1,0,unknown,no
6672,6672,57,admin.,divorced,secondary,no,-461,yes,yes,unknown,4,jun,145,8,-1,0,unknown,no
711,711,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,-1,0,unknown,yes
9663,9663,34,blue-collar,married,secondary,no,-436,yes,no,unknown,26,may,317,1,-1,0,unknown,no
7556,7556,28,technician,married,primary,no,-58,yes,no,unknown,8,may,74,1,-1,0,unknown,no
4659,4659,31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,13,aug,703,2,-1,0,unknown,yes
8405,8405,47,technician,married,secondary,no,-9,no,no,cellular,14,aug,457,2,-1,0,unknown,no
10284,10284,29,technician,married,secondary,no,-910,yes,no,cellular,21,jul,260,1,-1,0,unknown,no
5895,5895,28,blue-collar,married,primary,no,-55,yes,no,unknown,7,may,361,2,-1,0,unknown,no
8030,8030,31,blue-collar,divorced,secondary,no,-209,yes,no,cellular,8,may,154,3,367,2,failure,no
5013,5013,40,technician,married,secondary,no,-357,yes,no,cellular,16,jul,700,4,-1,0,unknown,yes
10755,10755,30,management,single,secondary,no,-383,yes,no,cellular,18,may,170,1,-1,0,unknown,no
774,774,37,technician,single,secondary,no,-242,yes,no,cellular,13,aug,1149,6,-1,0,unknown,yes
10119,10119,61,retired,married,unknown,no,-492,no,yes,unknown,4,jul,333,1,-1,0,unknown,no
